total pixels, size of ascii file (bytes), size of compressed binary file (bytes), size of decompressed ascii file (bytes), size of SVD.txt (bytes), rank, size of compressed binary SVD file (bytes), size of decompressed svd file ascii (bytes) 
62500, 223568, 62505, 223568, 2375000, 10, 20047, 225607
62500, 223568, 62505, 223568, 2375000, 11, 22051, 226484
62500, 223568, 62505, 223568, 2375000, 12, 24055, 224892
62500, 223568, 62505, 223568, 2375000, 13, 26059, 223171
62500, 223568, 62505, 223568, 2375000, 14, 28063, 224575
62500, 223568, 62505, 223568, 2375000, 15, 30067, 226033
62500, 223568, 62505, 223568, 2375000, 16, 32071, 225925
62500, 223568, 62505, 223568, 2375000, 17, 34075, 225446
62500, 223568, 62505, 223568, 2375000, 18, 36079, 225557
62500, 223568, 62505, 223568, 2375000, 19, 38083, 225302
62500, 223568, 62505, 223568, 2375000, 20, 40087, 225663
62500, 223568, 62505, 223568, 2375000, 21, 42091, 226699
62500, 223568, 62505, 223568, 2375000, 22, 44095, 225964
62500, 223568, 62505, 223568, 2375000, 23, 46099, 225664
62500, 223568, 62505, 223568, 2375000, 24, 48103, 226262
62500, 223568, 62505, 223568, 2375000, 25, 50107, 226674
62500, 223568, 62505, 223568, 2375000, 26, 52111, 226656
62500, 223568, 62505, 223568, 2375000, 27, 54115, 226302
62500, 223568, 62505, 223568, 2375000, 28, 56119, 226147
62500, 223568, 62505, 223568, 2375000, 29, 58123, 226150
62500, 223568, 62505, 223568, 2375000, 30, 60127, 226657
62500, 223568, 62505, 223568, 2375000, 31, 62131, 227446
62500, 223568, 62505, 223568, 2375000, 32, 64135, 226976
62500, 223568, 62505, 223568, 2375000, 33, 66139, 226800
62500, 223568, 62505, 223568, 2375000, 34, 68143, 226997
62500, 223568, 62505, 223568, 2375000, 35, 70147, 227138
62500, 223568, 62505, 223568, 2375000, 36, 72151, 227225
62500, 223568, 62505, 223568, 2375000, 37, 74155, 227391
62500, 223568, 62505, 223568, 2375000, 38, 76159, 226880
62500, 223568, 62505, 223568, 2375000, 39, 78163, 226573
62500, 223568, 62505, 223568, 2375000, 40, 80167, 226354
62500, 223568, 62505, 223568, 2375000, 41, 82171, 226149
62500, 223568, 62505, 223568, 2375000, 42, 84175, 225710
62500, 223568, 62505, 223568, 2375000, 43, 86179, 225331
62500, 223568, 62505, 223568, 2375000, 44, 88183, 225101
62500, 223568, 62505, 223568, 2375000, 45, 90187, 224904
62500, 223568, 62505, 223568, 2375000, 46, 92191, 224781
